common_id,2009_syu,2012_syu,2014_syu,2017_syu,2009_ykn,2010_ykn,2012_ykn,2013_ykn,2014_ykn,2016_ykn,カテゴリ,質問項目１,質問項目２,回答欄,備考1,備考2,朝日項目名
q53,,,Q6_10,,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,日本でもカジノを解禁すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q54,,,Q6_15,Q4_13,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,原子力規制委員会の審査に合格した原子力発電所は運転を再開すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,原発再稼働
q55,,,Q6_16,Q4_14,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,夫婦が望む場合には，結婚後も夫婦がそれぞれ結婚前の名字を称することを，法律で認めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,
q56,,,Q6_17,,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,より高い地位や良い職業に就く女性を増やすため，政府は特別な制度を設けるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,夫婦別姓
q57,,,,Q3,,,,,,,5,2019年10月に予定されている消費税率の10%への引き上げについて、あなたは賛成ですか、それとも反対ですか。1つだけ○をつけてください。,,1. （予定通り引き上げに）賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,
q58,,,,Q4_15,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,男性同士、女性同士の結婚を法律で認めるべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,同性婚
q59,,,,Q4_10,,,,,,,5,次に挙げる意見について、あなたは賛成ですか、それとも反対ですか。①から⑤のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,所得や資産の多い人に対する課税を強化すべきだ,１．賛成，２．どちらかと言えば賛成，３．どちらとも言えない，４．どちらかと言えば反対，５．反対,,,高所得者への課税強化
q60,Q10_1,Q6_4,Q7_4,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：環境を守るため、生活水準を犠牲にすることも必要だ，Ｂ：生活水準を犠牲にするほど、環境保護は重要問題ではない,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q61,Q10_2,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：国会議員のいわゆる世襲は禁止すべきだ，Ｂ：国会議員の子弟にも職業選択の自由がある,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,世襲禁止
q62,Q10_3,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：企業・団体にも政治活動の自由がある，Ｂ：企業・団体献金は全面禁止すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,企業・団体政治献金禁止
q63,Q10_4,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：治安は悪化しており、犯罪に対する厳罰化を進めるべきだ，Ｂ：治安は悪化しておらず、犯罪に対する厳罰化には慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q64,Q7_7,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ： 少子化対策には，親自身による家庭での育児を支援するほうが効果的だ　B: 少子化対策には，保育所を増やすなどして親の育児と仕事の両立を支援するほうが効果的だ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q65,Q10_5,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：高齢者を支えるため、現役世代の負担が重くなるのは避けられない，Ｂ：現役世代の負担が重くならないよう、高齢者へのサービスを見直すのは避けられ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,現役世代の負担vs.高齢者サービスの見直し
q66,Q10_6,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：若者の雇用確保のためには、まずは本人の努力が重要だ，Ｂ：若者の雇用確保のためには、何より政府による対策が重要だ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q67,Q10_7,Q6_5,Q7_5,Q5_2,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：夫婦と複数の子どもが揃っているのが家族の基本形だ，Ｂ：シングルマザーやDINKS など家族の形は多様でよい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,家族の構成形態
q68,Q10_8,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：日米同盟は日本外交の基軸だ，Ｂ：日本外交は国連中心主義でいくべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q69,Q10_9,Q6_3,Q7_3,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：国内産業を保護すべきだ，Ｂ：貿易や投資の自由化を進めるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q70,Q10_10,,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,Ａ：政治家は官僚と対決して従わせるのがよい，Ｂ：政治家は官僚と協力して使いこなすのがよい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q71,,Q6_1,Q7_1,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: これからの日本外交の優先順位は「まず米国」である　B: これからの日本外交の優先順位は「まずアジア」である,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q72,,Q6_2,Q7_2,Q5_1,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 社会的格差が多少あっても、いまは経済競争力の向上を優先すべきだ　B: 経済競争力を多少犠牲にしても、いまは社会的格差の是正を優先すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,経済競争力vs.社会的格差是正
q73,,Q6_6,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 電力に占める原子力発電の比率を、2030 年代までに0%にすべきだ　B: 2030 年代より後も、原子力発電は電力源のひとつとして保つべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q74,,,Q7_6,Q5_3,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: いますぐ原子力発電を廃止すべきだ　B: 将来も原子力発電は電力源のひとつとして保つべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,原発廃止vs.維持
q75,,Q6_7,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 現状の政治資金に関する規制は厳し過ぎる　B: 政治資金に関する規制をもっと厳しくすべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q76,,Q6_8,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国会の第一義的な役割は、与野党が議論を闘わせ、国民に対して争点の所在や政党間の立場の違いを示すことにある　B: 国会の第一義的な役割は、与野党が意見を調整して、なるべく多くの国民の意思を法律に反映させることにある,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q77,,Q6_9,,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国会での採決時、政党はなるべく党議拘束をかけて、所属議員が全員一致して行動することが望ましい　B: 国会での採決時、政党はなるべく党議拘束を外して、所属議員がそれぞれ判断して行動することが望ましい,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q78,,,Q7_8,Q5_4,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 国債は安定的に消化されており，財政赤字を心配する必要はない　B: 財政赤字は危機的水準であるので，国債発行を抑制すべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,財政赤字と国債発行
q79,,,Q7_9,,,,,,,,5,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: ヘイトスピーチは表現の自由を逸脱するものであり，法律で規制すべきだ　B: ヘイトスピーチの是非は別として，法的規制については慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,
q80,,,,Q5_5,,,,,,,55,次に挙げる争点について、あなたのお考えはＡ・Ｂのどちらに近いでしょうか。①から⑩のそれぞれの項目について１つずつ、あてはまる番号に○を付けてください。,A: 民間による技術・経営革新を促すため、経済的規制の緩和を徹底すべきだ　B: 既存産業や消費者保護のため、経済的規制の緩和には慎重であるべきだ,１．Ａに近い，２．どちらかと言えばＡ，３．どちらとも言えない，４．どちらかと言えばＢ。５．Ｂに近い,,,量的緩和政策継続
q81,,Q7,Q4,,,,,,,,11,日本に限らず、政治の立場を「左」?「右」の言葉で表現することがよくあります。このものさしで、あなたの立場を示されるとしたらいかがですか。あてはまる番号に1 つだけ○をつけて下さい。,自分,0. 最も左　1.　2.　3.　4.　5.中間　6.　7.　8.　9.　10. 最も右,,,
q82,,Q9_1,,,,,,,,,5,あなたは、以下の各国に親しみを感じますか、それとも感じませんか。それぞれの国について1 つずつ○をつけて下さい。,アメリカ,1. 親しみを感じる　2. どちらかと言えば親しみを感じる　3. どちらとも言えない　4. どちらかと言えば親しみを感じない　5. 親しみを感じない,,,
q83,,Q9_2,,,,,,,,,5,あなたは、以下の各国に親しみを感じますか、それとも感じませんか。それぞれの国について1 つずつ○をつけて下さい。,中国,1. 親しみを感じる　2. どちらかと言えば親しみを感じる　3. どちらとも言えない　4. どちらかと言えば親しみを感じない　5. 親しみを感じない,,,
q84,,Q9_3,,,,,,,,,5,あなたは、以下の各国に親しみを感じますか、それとも感じませんか。それぞれの国について1 つずつ○をつけて下さい。,ロシア,1. 親しみを感じる　2. どちらかと言えば親しみを感じる　3. どちらとも言えない　4. どちらかと言えば親しみを感じない　5. 親しみを感じない,,,
q85,,Q9_4,,,,,,,,,5,あなたは、以下の各国に親しみを感じますか、それとも感じませんか。それぞれの国について1 つずつ○をつけて下さい。,韓国,1. 親しみを感じる　2. どちらかと言えば親しみを感じる　3. どちらとも言えない　4. どちらかと言えば親しみを感じない　5. 親しみを感じない,,,
q86,,,Q9,,,,,,,,5,特定秘密保護法が成立したことを評価しますか，それとも評価しませんか。１つだけ○をつけてください。,,1. 大いに評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. まったく評価しない　99. 無回答,,,
q87,,,Q10,,,,,,,,5,集団的自衛権の行使を認める閣議決定が行われたことを評価しますか，それとも評価しませんか。１つだけ○をつけてください。,,1. 大いに評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. まったく評価しない　99. 無回答,,,
q88,,,,Q6_1,,,,,,,5,長期的な経済運営に関する次の意見について、あなたは賛成ですか、それとも反対ですか。それぞれの項目について1つずつあてはまる番号に○を付けてください。,消費税率を10％よりも高くする,1. 賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,消費税10％以上
q89,,,,Q6_2,,,,,,,5,長期的な経済運営に関する次の意見について、あなたは賛成ですか、それとも反対ですか。それぞれの項目について1つずつあてはまる番号に○を付けてください。,年金や医療費の給付を現行の水準よりも抑制する,1. 賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,
q90,,,,Q6_3,,,,,,,5,長期的な経済運営に関する次の意見について、あなたは賛成ですか、それとも反対ですか。それぞれの項目について1つずつあてはまる番号に○を付けてください。,競争力のない産業・企業に対する保護を現行の水準よりも削減する,1. 賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,産業保護削減
q91,,,,Q6_4,,,,,,,5,長期的な経済運営に関する次の意見について、あなたは賛成ですか、それとも反対ですか。それぞれの項目について1つずつあてはまる番号に○を付けてください。,基礎的財政収支（プライマリーバランス）の均衡達成を先送りする,1. 賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,PB先送り
q92,,,,Q6_5,,,,,,,5,長期的な経済運営に関する次の意見について、あなたは賛成ですか、それとも反対ですか。それぞれの項目について1つずつあてはまる番号に○を付けてください。,日本銀行は国債の買入れなど量的金融緩和政策を続ける,1. 賛成／やむをえない　2. どちらかと言えば賛成／やむをえない　3. どちらとも言えない　4. どちらかと言えば反対／容認できない　5. 反対／容認できない　99. 無回答,,,
q93,,,,Q9_1,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,経済政策全般（アベノミクス）,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q94,,,,Q9_2,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,環太平洋経済連携協定（TPP）の締結,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q95,,,,Q9_3,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,消費増税の先送り,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q96,,,,Q9_4,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,戦後70年の内閣総理大臣談話,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q97,,,,Q9_5,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,安全保障関連法案の成立,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q98,,,,Q9_6,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,北方領土問題への取り組み,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q99,,,,Q9_7,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,北朝鮮問題への取り組み,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q100,,,,Q9_8,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,組織犯罪処罰法の改正,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q101,,,,Q9_9,,,,,,,5,以下の第3次安倍内閣（2014年以降）の施策について、あなたは評価していますか、それとも評価していませんか。それぞれの項目について1つずつあてはまる番号に○を付けてください,森友学園・加計学園問題への対応,1. 評価する　2. どちらかと言えば評価する　3. どちらとも言えない　4. どちらかと言えば評価しない　5. 評価しない　99. 無回答,,,
q102,,,,Q8,,,,,,,5,「現在の憲法9条1項、2項はそのまま残しながら、自衛隊の意義と役割を憲法に書き込む」という憲法改正案について、あなたは賛成ですか、それとも反対ですか。あてはまる番号に○を付けてください。,,1. 賛成　2. どちらかと言えば賛成　3. どちらとも言えない　4. どちらかと言えば反対　5. 反対　99. 無回答,,,「自衛隊書き込み」憲法改正案の是非